TrackID,Song,Artist,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,DurationMS,TimeSignature,Region
1bvOeyvMFzCNKIdvshyG2b,"어머님이 누구니 Soul ver. (feat. 이진아, 지존) Who's your mama? Soul ver. (feat. Lee Jin Ah, JiJohn)",J.Y. Park,2015,0.715,0.802,10,-4.217,0,0.073,0.211,0.0,0.327,0.745,115.105,215663,4,Eastern
20bWnhRylVPnTpfsuIzorG,Hey Mama!,EXO-CBX,2016,0.532,0.859,1,-4.106,1,0.142,0.0662,0.0,0.684,0.934,118.919,199796,4,Eastern
1AIYotQAJnVXpyfAznXK8y,No Problem,Baro,2018,0.731,0.786,7,-5.173,1,0.126,0.0487,0.0,0.143,0.578,104.934,212526,4,Eastern
0x9Vpw90j9fDb669IydnHL,FEVER,J.Y. Park,2019,0.832,0.827,0,-2.932,1,0.144,0.0238,6.02e-06,0.0949,0.809,95.963,173925,4,Eastern
1LjhBbl5MvGz2rYcz5Fhgm,Switch to me (duet with JYP),Rain,2020,0.697,0.889,1,-3.193,1,0.0554,0.0164,0.0,0.211,0.467,99.996,197205,4,Eastern
4Wa3kUtGTeuPuC9qF9wF0g,Sequence,IZ*ONE,2020,0.793,0.849,1,-3.137,0,0.114,0.00311,0.0,0.0506,0.771,125.957,190867,4,Eastern
6kH1sKkvgN4Yikake52glq,We Ride,Brave Girls,2020,0.602,0.947,0,-1.613,1,0.0615,0.182,1.47e-05,0.132,0.808,110.055,189933,4,Eastern
6yWQi5Nq9ipDBLBi4kwRl0,Merry-Go-Round,IZ*ONE,2020,0.698,0.971,4,-1.087,0,0.113,0.0245,0.0,0.358,0.719,122.028,180827,4,Eastern
7pbJi2eyN0cI0mbBkmLK90,AWESOME (feat. Jay Park & GRAY),Loco,2015,0.722,0.871,9,-3.747,1,0.141,0.598,0.0,0.143,0.832,105.024,198857,4,Eastern
2WusoL0p5HmFzhR5DLGUVx,Lady,EXID,2018,0.705,0.952,1,-2.896,0,0.0489,0.0337,0.0,0.382,0.633,107.001,190502,4,Eastern
5xrtzzzikpG3BLbo4q1Yul,LILAC,IU,2021,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942,214253,4,Eastern
7CZRguMolNqIobnXxpV735,Coin,IU,2021,0.725,0.879,1,-3.351,1,0.101,0.00849,1.25e-06,0.316,0.71,118.092,193080,4,Eastern
6iZbX6zfmpx40UDy6Xcbl1,iD (Prod.By GRAY),Sleepy,2018,0.736,0.776,3,-4.22,0,0.0512,0.131,0.0,0.25,0.838,115.948,186048,4,Eastern
1ng3gM2zQ7kIJwC89np2oX,Take Me There,GRAY,2019,0.719,0.776,4,-4.028,1,0.0846,0.182,0.0,0.355,0.93,115.004,221073,4,Eastern
3hHpCjJdBBw4KjizY8l72r,COCO BOTTLE,PENOMECO,2018,0.826,0.714,11,-5.92,0,0.0659,0.1,3.2e-06,0.256,0.858,120.019,187889,4,Eastern
0tWJ05IcctwDbJ0PfDbigg,No.5,PENOMECO,2018,0.602,0.75,7,-4.864,1,0.167,0.178,0.0,0.292,0.624,78.872,189822,4,Eastern
3jsnWo73F2UuEtrZc6sHEx,Señorita (Feat. nafla),PENOMECO,2019,0.712,0.844,0,-5.238,1,0.18,0.125,0.0,0.254,0.648,101.041,176600,4,Eastern
2ljpZxz75NrBwunwnzRcId,O.F.F,PENOMECO,2018,0.692,0.729,7,-4.978,1,0.0604,0.104,0.0,0.1,0.405,95.023,241581,4,Eastern
1R8NDMQqxb2zLKUTlBoWuu,Do Ma Thang,PENOMECO,2019,0.678,0.873,10,-5.448,1,0.178,0.259,0.0,0.434,0.618,116.905,198800,4,Eastern
1MlGVEzfImYroIp15GShGj,Popstar,Jooyoung,2013,0.974,0.522,5,-7.041,0,0.0528,0.168,0.000121,0.0931,0.962,119.927,200769,4,Eastern
1DF4MS2kTltHPabcFMM6ZE,I Got It,Primary,2017,0.578,0.773,9,-5.368,0,0.278,0.139,0.0,0.453,0.634,96.869,244573,4,Eastern
7oIIKaSWTHkBpO5EVcV5Ac,Cool Night,Sleepy,2015,0.817,0.614,9,-3.891,0,0.0576,0.279,0.0,0.105,0.876,100.998,185417,4,Eastern
4znsLjThGv9bBRQdEiMdTo,Summer Night - Remix,GRAY,2016,0.674,0.863,4,-1.581,0,0.0837,0.303,0.0,0.15,0.853,120.026,238976,4,Eastern
6GX6DixUAP2sJFfkBbVERG,Summer Night,GRAY,2013,0.868,0.551,10,-7.671,0,0.0608,0.0226,3.07e-05,0.0731,0.815,119.997,227075,4,Eastern
